.,.heading,,.,,Process,Total,Total,eco-costs of,eco-costs of,eco-costs of,eco-costs of,Carbon ,Carbon ,CED,ReCiPe2016,ReCiPe2016,ReCiPe,ReCiPe,ReCiPe,ReCiPe,ReCiPe,ReCiPe,EF 3.1,EF 3.1,carbon,pollutants,water,biodiversity,resources,ClassyFire,"chemicals,plastics, and wood",Note:,,,,,,,
.full,.heading,LCI,.,,,eco-costs,eco-costs,human health,protecting,resource,carbon ,Dioxide,Dioxide,(Total),endpoint (Pt),endpoint H/A,human health,ecotoxicity,resources,human health,ecotoxicity,resources,Total,Total,ecocosts,ecocosts,ecocosts,ecocosts,ecocosts,subclass,,Idemat data based on Ecoinvent can be found at the blackboard of the Delft University of Technology,,,,,,,
.nr,.heading,.    number,.,unit,,euro,bars,euro,nature     euro ,scarcity   euro,footprint  euro,kgCO2e,bars,MJ,World(2010) H/A,bars,Pt,Pt,Pt,DALY,species.year,USD2013,Pt,bars,ESRS E1,ESRS E2,ESRS E3,ESRS E4,ESRS E5,name,alternative names,,,,,,,,
,,,MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.010.08.106.230701 Cotton trade mix China - India - USA,agriculture,A.010.08.106,"Materials, agricultural, plant production",kg ,Cotton trade mix China - India - USA,1.06,1.06,0.01,0.02,0.87,0.15,1.00,1.00,15.7,0.049476406,0.05,0.045400989,0.00330161,0.000773807,2.72188E-06,1.22101E-08,0.10837633,0.000624327,0.00,0.1500642,0.032283669,0.869541827,0.023660014,0.025049282,,,,,,,,,,
A.010.08.107.230701 Cotton USA,agriculture,A.010.08.107,"Materials, agricultural, plant production",kg ,Cotton USA,1.11,1.11,0.01,0.03,0.88,0.20,1.31,1.31,21.1,0.061027612,0.06,0.056277661,0.003804326,0.000945625,3.37396E-06,1.40693E-08,0.13244049,0.00055244,0.00,0.19708052,0.037049809,0.861145369,0.026671876,0.039582265,,,,,,,,,,
A.010.08.108.230701 Jute fibres  Bangladesh - rainfed,agriculture,A.010.08.108,"Materials, agricultural, plant production",kg ,Jute fibres  Bangladesh - rainfed,0.20,0.20,0.01,0.03,0.02,0.14,0.96,0.96,4.0,0.022825031,0.02,0.021635006,0.000933218,0.000256807,1.29706E-06,3.45125E-09,0.035967402,3.85E-05,0.00,0.1443304,0.034708464,0.035738255,0.029909978,0.009134687,,,,,,,,,,
A.010.08.109.230701 Jute fibres trade mix,agriculture,A.010.08.109,"Materials, agricultural, plant production",kg ,Jute fibres trade mix,0.29,0.29,0.01,0.03,0.11,0.14,0.96,0.96,4.0,0.022812498,0.02,0.02142124,0.001134451,0.000256807,1.28425E-06,4.19545E-09,0.035967402,6.70E-05,0.00,0.1443304,0.034708464,0.130010456,0.029909978,0.009134686,,,,,,,,,,
A.010.08.110.230701 Jute fibres Bangladesh,agriculture,A.010.08.110,"Materials, agricultural, plant production",kg ,Jute fibres Bangladesh,0.24,0.24,0.01,0.03,0.06,0.14,0.96,0.96,4.0,0.042693132,0.04,0.041152235,0.00128409,0.000256807,2.46716E-06,4.74885E-09,0.035967402,4.94E-05,0.00,0.1443304,0.034708464,0.080396983,0.029909978,0.009134687,,,,,,,,,,
A.010.08.111.230701 Jute fibres India,agriculture,A.010.08.111,"Materials, agricultural, plant production",kg ,Jute fibres India,0.69,0.69,0.01,0.03,0.51,0.14,0.96,0.96,4.0,0.021380858,0.02,0.019151177,0.001972873,0.000256807,1.14815E-06,7.29613E-09,0.035967402,0.000188294,0.00,0.1443304,0.034708464,0.531091696,0.029909978,0.009134687,,,,,,,,,,
A.010.08.112.230701 Jute fibres India - rainfed,agriculture,A.010.08.112,"Materials, agricultural, plant production",kg ,Jute fibres India - rainfed,0.26,0.26,0.01,0.03,0.08,0.14,0.96,0.96,4.0,0.019934189,0.02,0.018650735,0.001026646,0.000256807,1.11815E-06,3.79677E-09,0.035967402,5.74E-05,0.00,0.1443304,0.034708464,0.096871448,0.029909978,0.009134687,,,,,,,,,,
A.010.08.113.230701 Kenaf fibres Italy,agriculture,A.010.08.113,"Materials, agricultural, plant production",kg ,Kenaf fibres Italy,0.28,0.28,0.00,0.01,0.22,0.05,0.33,0.33,5.2,0.019299471,0.02,0.018505911,0.000537929,0.000255632,1.10947E-06,1.98938E-09,0.035802756,0.000133267,0.00,0.049547975,0.009360154,0.221411032,0.006515582,0.009391579,,,,,,,,,,
A.010.08.114.230701 Kenaf fibres India,agriculture,A.010.08.114,"Materials, agricultural, plant production",kg ,Kenaf fibres India,0.32,0.32,0.00,0.01,0.26,0.05,0.33,0.33,5.2,0.007677191,0.01,0.006596236,0.000825324,0.000255632,3.95458E-07,3.05223E-09,0.035802756,9.32E-05,0.00,0.049547975,0.009360154,0.258100662,0.006515582,0.009391579,,,,,,,,,,
A.010.08.115.230701 Linseed produced in region,agriculture,A.010.08.115,"Materials, agricultural, plant production",kg ,Linseed produced in region,0.24,0.24,0.01,0.01,0.07,0.14,0.94,0.94,14.7,0.018259336,0.02,0.016504344,0.000757489,0.000997503,9.89469E-07,2.80136E-09,0.13970637,4.86E-05,0.00,0.1413596,0.021475296,0.013412722,0.014953843,0.071885676,,,,,,,,,,
A.010.08.116.230701 European Flax scutched - long fibres (12% moisture content),agriculture,A.010.08.116,"Materials, agricultural, plant production",kg ,European Flax scutched - long fibres (12% moisture content),0.38,0.38,0.07,0.10,0.00,0.21,1.38,1.38,10.8,0.028734686,0.03,0.026608028,0.001365457,0.0007612,1.59521E-06,5.04977E-09,0.10661068,0.000108408,0.00,0.20667218,0.172747201,0.098658219,0.098661073,0.001077596,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
